Unicast lids [0x0-0xaa] of switch guid 0xf4521403005cc310
0x00a9 035 : (Channel Adapter portguid guid: SwitchX -  Mellanox Technologies)
0x00aa 034 : (Channel Adapter portguid guid: MF0;ibleaf1:SX6036/U1)
Unicast lids [0x0-0xaa] of switch guid 0x0002c903007bbe30
0x0002 027 : (Channel Adapter portguid guid: r02n12)
0x0003 028 : (Channel Adapter portguid guid: r02n13)
0x0004 027 : (Channel Adapter portguid guid: r02n08)
0x0005 026 : (Channel Adapter portguid guid: r02n15)
0x0006 026 : (Channel Adapter portguid guid: r02n11)
0x0007 028 : (Channel Adapter portguid guid: r02n09)
0x0008 028 : (Channel Adapter portguid guid: r02n04)
0x0009 026 : (Channel Adapter portguid guid: r02n02)
0x000a 025 : (Channel Adapter portguid guid: r02n06)
0x000b 026 : (Channel Adapter portguid guid: r02n07)
0x000c 025 : (Channel Adapter portguid guid: r02n14)
0x000d 027 : (Channel Adapter portguid guid: r02n16)
0x000e 025 : (Channel Adapter portguid guid: r02n10)
0x000f 027 : (Channel Adapter portguid guid: r02n03)
0x0010 025 : (Channel Adapter portguid guid: r02n01)
0x0011 028 : (Channel Adapter portguid guid: r02n18)
0x0013 025 : (Channel Adapter portguid guid: r06n05)
0x0014 026 : (Channel Adapter portguid guid: r06n16)
0x0015 025 : (Channel Adapter portguid guid: r05n11)
0x0016 026 : (Channel Adapter portguid guid: r06n06)
0x0017 025 : (Channel Adapter portguid guid: r05n03)
0x0018 028 : (Channel Adapter portguid guid: r07n12)
0x0019 028 : (Channel Adapter portguid guid: r06n18)
0x001a 026 : (Channel Adapter portguid guid: r07n10)
0x001c 028 : (Channel Adapter portguid guid: r05n10)
0x001d 026 : (Channel Adapter portguid guid: r07n06)
0x001e 025 : (Channel Adapter portguid guid: r05n15)
0x001f 026 : (Channel Adapter portguid guid: r05n04)
0x0020 025 : (Channel Adapter portguid guid: r07n01)
0x0021 027 : (Channel Adapter portguid guid: r06n07)
0x0022 026 : (Channel Adapter portguid guid: r08n05)
0x0023 028 : (Channel Adapter portguid guid: r07n08)
0x0024 028 : (Channel Adapter portguid guid: r08n07)
0x0025 025 : (Channel Adapter portguid guid: r04n09)
0x0026 025 : (Channel Adapter portguid guid: r07n05)
0x0027 025 : (Channel Adapter portguid guid: r06n01)
0x0028 026 : (Channel Adapter portguid guid: r08n09)
0x0029 027 : (Channel Adapter portguid guid: r07n03)
0x002a 026 : (Channel Adapter portguid guid: r05n12)
0x002b 027 : (Channel Adapter portguid guid: r08n18)
0x002c 028 : (Channel Adapter portguid guid: r05n14)
0x002d 028 : (Channel Adapter portguid guid: r06n14)
0x002e 027 : (Channel Adapter portguid guid: r05n01)
0x002f 028 : (Channel Adapter portguid guid: r05n18)
0x0030 025 : (Channel Adapter portguid guid: r07n13)
0x0031 027 : (Channel Adapter portguid guid: r05n13)
0x0032 028 : (Channel Adapter portguid guid: r06n10)
0x0033 025 : (Channel Adapter portguid guid: r08n16)
0x0034 027 : (Channel Adapter portguid guid: r07n07)
0x0035 028 : (Channel Adapter portguid guid: r07n04)
0x0036 028 : (Channel Adapter portguid guid: r07n16)
0x0038 027 : (Channel Adapter portguid guid: r08n10)
0x0039 026 : (Channel Adapter portguid guid: r07n02)
0x003a 025 : (Channel Adapter portguid guid: r05n07)
0x003b 027 : (Channel Adapter portguid guid: r06n13)
0x003c 028 : (Channel Adapter portguid guid: r05n02)
0x003d 025 : (Channel Adapter portguid guid: r08n08)
0x003e 026 : (Channel Adapter portguid guid: r08n17)
0x003f 025 : (Channel Adapter portguid guid: r08n04)
0x0040 028 : (Channel Adapter portguid guid: r06n04)
0x0041 026 : (Channel Adapter portguid guid: r05n16)
0x0042 027 : (Channel Adapter portguid guid: r07n11)
0x0043 028 : (Channel Adapter portguid guid: r08n15)
0x0044 026 : (Channel Adapter portguid guid: r07n14)
0x0045 028 : (Channel Adapter portguid guid: r08n03)
0x0046 027 : (Channel Adapter portguid guid: r05n05)
0x0047 028 : (Channel Adapter portguid guid: r05n06)
0x0048 025 : (Channel Adapter portguid guid: r06n15)
0x0049 027 : (Channel Adapter portguid guid: r07n15)
0x004a 025 : (Channel Adapter portguid guid: r07n17)
0x004b 027 : (Channel Adapter portguid guid: r06n03)
0x004c 026 : (Channel Adapter portguid guid: r05n08)
0x004d 026 : (Channel Adapter portguid guid: r06n12)
0x004e 027 : (Channel Adapter portguid guid: r06n17)
0x004f 026 : (Channel Adapter portguid guid: r08n13)
0x0050 028 : (Channel Adapter portguid guid: r08n11)
0x0051 026 : (Channel Adapter portguid guid: r09n03)
0x0052 026 : (Channel Adapter portguid guid: r09n07)
0x0053 027 : (Channel Adapter portguid guid: r08n14)
0x0054 026 : (Channel Adapter portguid guid: r09n11)
0x0055 027 : (Channel Adapter portguid guid: r08n06)
0x0056 025 : (Channel Adapter portguid guid: r08n12)
0x0057 027 : (Channel Adapter portguid guid: r08n02)
0x0058 025 : (Channel Adapter portguid guid: r06n11)
0x0059 027 : (Channel Adapter portguid guid: r05n17)
